"","id","player_of_match","toss_winner","t","winner","result","result_margin","eliminator","method","umpire_team","Field","FieldValue","TeamNumber","Team"
"3059",1082625,"KH Pandya","Gujarat Lions","bat","Mumbai Indians","tie",NA,"Y",NA,"AK Chaudhary/CB Gaffaney","date","29/04/2017","team1","Gujarat Lions"
"3060",1082626,"Sandeep Sharma","Kings XI Punjab","field","Kings XI Punjab","wickets",10,"N",NA,"YC Barde/CK Nandan","date","30/04/2017","team1","Kings XI Punjab"
"3061",1082627,"DA Warner","Kolkata Knight Riders","field","Sunrisers Hyderabad","runs",48,"N",NA,"AY Dandekar/S Ravi","date","30/04/2017","team1","Sunrisers Hyderabad"
"3062",1082628,"RG Sharma","Royal Challengers Bangalore","bat","Mumbai Indians","wickets",5,"N",NA,"AK Chaudhary/CB Gaffaney","date","01/05/2017","team1","Mumbai Indians"
"3063",1082629,"BA Stokes","Rising Pune Supergiant","field","Rising Pune Supergiant","wickets",5,"N",NA,"M Erasmus/C Shamshuddin","date","01/05/2017","team1","Rising Pune Supergiant"
"3064",1082630,"Mohammed Shami","Delhi Daredevils","field","Delhi Daredevils","wickets",6,"N",NA,"YC Barde/Nitin Menon","date","02/05/2017","team1","Delhi Daredevils"
"3065",1082631,"RA Tripathi","Rising Pune Supergiant","field","Rising Pune Supergiant","wickets",4,"N",NA,"KN Ananthapadmanabhan/A Nand Kishore","date","03/05/2017","team1","Kolkata Knight Riders"
"3066",1082632,"RR Pant","Delhi Daredevils","field","Delhi Daredevils","wickets",7,"N",NA,"M Erasmus/Nitin Menon","date","04/05/2017","team1","Delhi Daredevils"
"3067",1082633,"Sandeep Sharma","Royal Challengers Bangalore","field","Kings XI Punjab","runs",19,"N",NA,"CB Gaffaney/C Shamshuddin","date","05/05/2017","team1","Royal Challengers Bangalore"
"3068",1082634,"JD Unadkat","Sunrisers Hyderabad","field","Rising Pune Supergiant","runs",12,"N",NA,"KN Ananthapadmanabhan/AK Chaudhary","date","06/05/2017","team1","Sunrisers Hyderabad"
"3069",1082635,"LMP Simmons","Delhi Daredevils","field","Mumbai Indians","runs",146,"N",NA,"Nitin Menon/CK Nandan","date","06/05/2017","team1","Delhi Daredevils"
"3070",1082636,"SP Narine","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",6,"N",NA,"AY Dandekar/C Shamshuddin","date","07/05/2017","team1","Royal Challengers Bangalore"
"3071",1082637,"DR Smith","Gujarat Lions","field","Gujarat Lions","wickets",6,"N",NA,"A Nand Kishore/VK Sharma","date","07/05/2017","team1","Kings XI Punjab"
"3072",1082638,"S Dhawan","Mumbai Indians","bat","Sunrisers Hyderabad","wickets",7,"N",NA,"KN Ananthapadmanabhan/M Erasmus","date","08/05/2017","team1","Sunrisers Hyderabad"
"3073",1082639,"MM Sharma","Kolkata Knight Riders","field","Kings XI Punjab","runs",14,"N",NA,"A Nand Kishore/S Ravi","date","09/05/2017","team1","Kings XI Punjab"
"3074",1082640,"SS Iyer","Delhi Daredevils","field","Delhi Daredevils","wickets",2,"N",NA,"YC Barde/AK Chaudhary","date","10/05/2017","team1","Gujarat Lions"
"3075",1082641,"WP Saha","Mumbai Indians","field","Kings XI Punjab","runs",7,"N",NA,"A Deshmukh/A Nand Kishore","date","11/05/2017","team1","Mumbai Indians"
"3076",1082642,"KK Nair","Delhi Daredevils","bat","Delhi Daredevils","runs",7,"N",NA,"KN Ananthapadmanabhan/CK Nandan","date","12/05/2017","team1","Delhi Daredevils"
"3077",1082643,"Mohammed Siraj","Sunrisers Hyderabad","field","Sunrisers Hyderabad","wickets",8,"N",NA,"AK Chaudhary/Nitin Menon","date","13/05/2017","team1","Gujarat Lions"
"3078",1082644,"AT Rayudu","Kolkata Knight Riders","field","Mumbai Indians","runs",9,"N",NA,"A Nand Kishore/S Ravi","date","13/05/2017","team1","Kolkata Knight Riders"
"3079",1082645,"JD Unadkat","Rising Pune Supergiant","field","Rising Pune Supergiant","wickets",9,"N",NA,"AY Dandekar/A Deshmukh","date","14/05/2017","team1","Rising Pune Supergiant"
"3080",1082646,"HV Patel","Royal Challengers Bangalore","bat","Royal Challengers Bangalore","runs",10,"N",NA,"CK Nandan/C Shamshuddin","date","14/05/2017","team1","Delhi Daredevils"
"3081",1082647,"Washington Sundar","Mumbai Indians","field","Rising Pune Supergiant","runs",20,"N",NA,"S Ravi/C Shamshuddin","date","16/05/2017","team1","Mumbai Indians"
"3082",1082648,"NM Coulter-Nile","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",7,"N","D/L","AK Chaudhary/Nitin Menon","date","17/05/2017","team1","Sunrisers Hyderabad"
"3083",1082649,"KV Sharma","Mumbai Indians","field","Mumbai Indians","wickets",6,"N",NA,"NJ Llong/Nitin Menon","date","19/05/2017","team1","Mumbai Indians"
"3084",1082650,"KH Pandya","Mumbai Indians","bat","Mumbai Indians","runs",1,"N",NA,"NJ Llong/S Ravi","date","21/05/2017","team1","Mumbai Indians"
"3085",1136561,"DJ Bravo","Chennai Super Kings","field","Chennai Super Kings","wickets",1,"N",NA,"CB Gaffaney/A Nand Kishore","date","07/04/2018","team1","Mumbai Indians"
"3086",1136562,"KL Rahul","Kings XI Punjab","field","Kings XI Punjab","wickets",6,"N",NA,"KN Ananthapadmanabhan/RJ Tucker","date","08/04/2018","team1","Kings XI Punjab"
